,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,10.1002/lno.12769,-1,False,,,
1,10.1002/lno.70071,-1,False,,,
2,10.1002/lno.12802,-1,True,,,
3,10.1002/lno.12802,0,True,False,False,
4,10.1002/lno.12812,-1,False,,,
5,10.1002/lno.12773,-1,False,,,
6,10.1002/lno.70066,-1,True,,,
7,10.1002/lno.70066,0,True,False,False,
8,10.1002/lno.12779,-1,False,,,
9,10.1002/lno.70045,-1,True,,,
10,10.1002/lno.70045,0,True,False,False,
11,10.1002/lno.70045,1,True,True,False,"The coastal Southern Ocean (SO) phytoplankton community is being studied. It is specifically described as containing *Phaeocystis antarctica, Chaetoceros simplex, and Geminigera cryophila*, representing ""different taxonomical key groups"" of this community. The text does not provide further details on the physical characteristics of these coastal ecosystems, but frames them as being subject to ongoing warming and changes in nutrient replenishment.
</end_of_turn>"
12,10.1002/lno.70045,2,True,False,True,
13,10.1002/lno.70045,3,True,False,False,
14,10.1002/lno.70045,4,True,False,False,
15,10.1002/lno.70045,5,True,False,False,
16,10.1002/lno.70045,6,True,False,True,
17,10.1002/lno.70045,7,True,False,False,
18,10.1002/lno.70045,8,True,False,True,
19,10.1002/lno.70045,9,True,False,True,
20,10.1002/lno.70045,10,True,False,False,
21,10.1002/lno.70045,11,True,False,True,
22,10.1002/lno.70045,12,True,False,False,
23,10.1002/lno.70082,-1,False,,,
24,10.1002/lno.70001,-1,False,,,
25,10.1002/lno.12782,-1,False,,,
26,10.1002/lno.70023,-1,False,,,
27,10.1002/lno.70006,-1,True,,,
28,10.1002/lno.70006,0,True,True,False,"The coastal ecosystems being studied are **macroalgal forests**, specifically those dominated by the seaweed species *Ecklonia radiata* and *Scytothalia dorycarpa*. 

The context defines these ecosystems by depth, distinguishing between **shallow reefs** (10-20 m depth) and **deep reefs** (50 m depth). The defining characteristic is the depth at which the dominant canopy-forming seaweeds are found. Additionally, the text specifies these ecosystems are found in **Western Australia**.
"
29,10.1002/lno.70006,1,True,True,False,"The coastal ecosystems being studied are **macroalgal forests** along the southern coast of Australia, collectively referred to as the **Great Southern Reef**. 

Here are the definitions provided in the context:

*   **Macroalgal Forests:** Extensive forests composed of macroalgae. They are highly productive ecosystems.
*   **Great Southern Reef:** Macroalgal forests along the southern coast of Australia that contribute a greater net economic benefit from blue carbon storage and sequestration than any other country on the planet. It is estimated that Australian macroalgal forests export more POC to deep ocean sinks than any other country worldwide. The macroalgal forests in the Great Southern Reef contribute as much as 30% of all blue carbon in Australia.
*   **Kelp Forests:** A subset of macroalgal forests, specifically dominated by kelp species like *Ecklonia radiata*.
*   **Fucoid Forests:** A subset of macroalgal forests, specifically dominated by fucoid species like *Sargassum dorycarpa*.

Additionally, the context mentions other **coastal vegetated ecosystems** generally:

*   **Blue carbon ecosystems:** Coastal mangroves, salt marshes, and seagrass meadows that collectively store and sequester 0.5-0.8% of anthropogenic carbon dioxide emissions. 

The context also briefly alludes to **reefs**, specifically *donor reefs* which release detritus, but does not define them beyond this characteristic.



</end_of_turn>"
30,10.1002/lno.70006,2,True,True,False,"The coastal ecosystems being studied are **macroalgal reefs** distributed along the inner and outer shelf of the **Rottnest Continental Shelf** in Southwest Australia. 

Specifically:

*   **Rottnest Continental Shelf**: A gradually sloping seafloor that drops sharply to 200m depth, and is influenced by the Leeuwin Current and cross-shelf currents (DSWT).
*   **Macroalgal reefs**: These are distributed along the inner and outer shelf, with outer shelf reefs comprising approximately one third of the total reefs from 0 to 60m depth. They are the focus of the decomposition experiment.

The text does not provide definitions for other coastal ecosystems listed in the prompt (intertidal zones, estuaries, lagoons, etc.)."
31,10.1002/lno.70006,3,True,False,False,
32,10.1002/lno.70006,4,True,False,False,
33,10.1002/lno.70006,5,True,False,True,
34,10.1002/lno.70006,6,True,False,False,
35,10.1002/lno.70006,7,True,False,True,
36,10.1002/lno.70006,8,True,True,True,"The following coastal ecosystems are studied in this context, with their defining characteristics as described in the text:

*   **Reefs:** Specifically, reefs occurring on the **Rottnest Continental Shelf**, with a distinction made between **inner shelf reefs** (8 individuals m-2) and **outer shelf reefs** (projected to comprise one-third of total reefs between 0 and 60m depth, experience lower light conditions).
*   **Kelp Forests:** Specifically, forests dominated by the Australian kelp, *E. radiata*.
*   **Coastal Environments experiencing Downwelling Shelf Waves and Currents (DSWT):** These are characterized by the presence of cross-shelf currents (typical velocities of 0.15 m s-1 along the seafloor) and are suggested to have higher potential for POC carbon export to deep ocean sinks.
*   **Shallow Reefs (10-30m depth):** These are described as potentially having similar to and potentially greater macroalgal carbon sequestration rates than national estimates.
* **Deep reefs:** located on the outer shelf, experience lower light conditions and may be important contributors to macroalgal export to the deep ocean.



</start_of_turn>"
37,10.1002/lno.70006,9,True,False,True,
38,10.1002/lno.70006,10,True,False,False,
39,10.1002/lno.70080,-1,True,,,
40,10.1002/lno.70080,0,True,False,False,
41,10.1002/lno.70080,1,True,True,False,"The coastal ecosystems being studied are **salt marshes**. 

Here are the definitions provided in the context:

*   **Salt marshes** are described as ecosystems characterized by a high variability of abiotic conditions on a small spatial scale, specifically along an elevational gradient in relation to mean high tide (MHT) and associated inundation frequency. They are critically important due to their high ecosystem service potential, especially with regard to coastal protection and carbon sequestration (blue carbon), both mediated through root-related processes.

Within salt marshes, three distinct **vegetation zones** are defined:

*   **Pioneer zone (PIO)**: Located at the lowest elevations, experiencing frequently waterlogged soils.
*   **Low marsh (LM)**: Located at intermediate elevations, regularly flooded.
*   **High marsh (HM)**: Located at the highest elevations, experiencing pronounced competition and temporal drought.

The text also specifies these marshes are **mesotidal**, meaning they have a moderate tidal amplitude. "
