,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,10.1002/lno.12769,-1,False,,,
1,10.1002/lno.70071,-1,False,,,
2,10.1002/lno.12802,-1,True,,,
3,10.1002/lno.12802,0,True,False,False,
4,10.1002/lno.12812,-1,False,,,
5,10.1002/lno.12773,-1,False,,,
6,10.1002/lno.70066,-1,True,,,
7,10.1002/lno.70066,0,True,False,False,
8,10.1002/lno.12779,-1,False,,,
9,10.1002/lno.70045,-1,True,,,
10,10.1002/lno.70045,0,True,False,False,
11,10.1002/lno.70045,1,True,False,False,
12,10.1002/lno.70045,2,True,False,False,
13,10.1002/lno.70045,3,True,False,False,
14,10.1002/lno.70045,4,True,False,False,
15,10.1002/lno.70045,5,True,False,False,
16,10.1002/lno.70045,6,True,False,False,
17,10.1002/lno.70045,7,True,False,False,
18,10.1002/lno.70045,8,True,False,False,
19,10.1002/lno.70045,9,True,False,False,
20,10.1002/lno.70045,10,True,False,False,
21,10.1002/lno.70045,11,True,False,False,
22,10.1002/lno.70045,12,True,False,False,
23,10.1002/lno.70045,13,True,False,False,
24,10.1002/lno.70045,14,True,False,False,
25,10.1002/lno.70045,15,True,False,False,
26,10.1002/lno.70045,16,True,False,False,
27,10.1002/lno.70045,17,True,False,False,
28,10.1002/lno.70045,18,True,False,False,
29,10.1002/lno.70045,19,True,False,False,
30,10.1002/lno.70045,20,True,False,False,
31,10.1002/lno.70045,21,True,False,False,
32,10.1002/lno.70045,22,True,False,False,
33,10.1002/lno.70045,23,True,False,False,
34,10.1002/lno.70045,24,True,False,False,
35,10.1002/lno.70082,-1,False,,,
36,10.1002/lno.70001,-1,True,,,
37,10.1002/lno.70001,0,True,False,False,
38,10.1002/lno.70001,1,True,False,False,
39,10.1002/lno.70001,2,True,False,False,
40,10.1002/lno.70001,3,True,False,False,
41,10.1002/lno.70001,4,True,False,False,
42,10.1002/lno.70001,5,True,False,False,
43,10.1002/lno.70001,6,True,False,False,
44,10.1002/lno.70001,7,True,False,False,
45,10.1002/lno.70001,8,True,False,False,
46,10.1002/lno.70001,9,True,False,False,
47,10.1002/lno.70001,10,True,False,False,
48,10.1002/lno.70001,11,True,False,False,
49,10.1002/lno.70001,12,True,False,False,
50,10.1002/lno.70001,13,True,False,False,
51,10.1002/lno.70001,14,True,False,False,
52,10.1002/lno.70001,15,True,False,False,
53,10.1002/lno.70001,16,True,False,False,
54,10.1002/lno.70001,17,True,False,False,
55,10.1002/lno.70001,18,True,False,False,
56,10.1002/lno.70001,19,True,False,False,
57,10.1002/lno.70001,20,True,False,False,
58,10.1002/lno.70001,21,True,False,False,
59,10.1002/lno.70001,22,True,False,False,
60,10.1002/lno.70001,23,True,False,False,
61,10.1002/lno.70001,24,True,False,False,
62,10.1002/lno.70001,25,True,False,False,
63,10.1002/lno.70001,26,True,False,False,
64,10.1002/lno.70001,27,True,False,False,
65,10.1002/lno.70001,28,True,False,False,
66,10.1002/lno.70001,29,True,False,False,
67,10.1002/lno.70001,30,True,False,False,
68,10.1002/lno.70001,31,True,False,False,
69,10.1002/lno.12782,-1,False,,,
70,10.1002/lno.70023,-1,False,,,
71,10.1002/lno.70006,-1,True,,,
72,10.1002/lno.70006,0,True,False,False,
73,10.1002/lno.70006,1,True,False,False,
74,10.1002/lno.70006,2,True,True,True,"```json
{
  ""ecosystems"": [
    {
      ""name"": ""Mangroves"",
      ""quantitative_attributes"": [
        ""Store and sequester 0.5-0.8% of anthropogenic carbon dioxide emissions (141-466 tons of carbon yr À1 )""
      ]
    },
    {
      ""name"": ""Salt Marshes"",
      ""quantitative_attributes"": [
        ""Store and sequester 0.5-0.8% of anthropogenic carbon dioxide emissions (141-466 tons of carbon yr À1 )""
      ]
    },
    {
      ""name"": ""Seagrass Meadows"",
      ""quantitative_attributes"": [
        ""Store and sequester 0.5-0.8% of anthropogenic carbon dioxide emissions (141-466 tons of carbon yr À1 )""
      ]
    },
    {
      ""name"": ""Macroalgal forests"",
      ""quantitative_attributes"": [
        ""First-order estimates of particulate macroalgal organic carbon sequestration suggest a contribution of 56 (10-170) tons of carbon yr À1 globally""
      ]
    }
  ]
}
```</end_of_turn>"
75,10.1002/lno.70006,3,True,False,False,
76,10.1002/lno.70006,4,True,False,False,
77,10.1002/lno.70006,5,True,False,False,
78,10.1002/lno.70006,6,True,False,True,
79,10.1002/lno.70006,7,True,False,False,
80,10.1002/lno.70006,8,True,False,False,
81,10.1002/lno.70006,9,True,False,False,
82,10.1002/lno.70006,10,True,False,False,
83,10.1002/lno.70006,11,True,False,False,
84,10.1002/lno.70006,12,True,False,False,
85,10.1002/lno.70006,13,True,False,False,
86,10.1002/lno.70006,14,True,False,True,
87,10.1002/lno.70006,15,True,False,False,
88,10.1002/lno.70006,16,True,False,False,
89,10.1002/lno.70006,17,True,False,False,
90,10.1002/lno.70006,18,True,False,False,
91,10.1002/lno.70006,19,True,False,False,
92,10.1002/lno.70006,20,True,False,False,
93,10.1002/lno.70006,21,True,False,False,
94,10.1002/lno.70006,22,True,False,False,
95,10.1002/lno.70006,23,True,False,False,
96,10.1002/lno.70006,24,True,False,True,
97,10.1002/lno.70006,25,True,False,False,
98,10.1002/lno.70006,26,True,False,False,
99,10.1002/lno.70006,27,True,False,False,
100,10.1002/lno.70006,28,True,False,False,
101,10.1002/lno.70006,29,True,False,True,
102,10.1002/lno.70006,30,True,False,False,
103,10.1002/lno.70006,31,True,False,False,
104,10.1002/lno.70080,-1,True,,,
105,10.1002/lno.70080,0,True,False,False,
106,10.1002/lno.70080,1,True,False,False,
107,10.1002/lno.70080,2,True,False,False,
108,10.1002/lno.70080,3,True,False,False,
109,10.1002/lno.70080,4,True,False,False,
110,10.1002/lno.70080,5,True,False,False,
111,10.1002/lno.70080,6,True,False,False,
