,doi,chunk,abstract_bool,definition_bool,table_bool,measurement_bool,definition
0,10.1002/lno.12682,-1,False,,,,
1,10.1002/lno.11852,-1,False,,,,
2,10.1002/lno.11846,-1,True,,,,
3,10.1002/lno.11846,0,True,False,False,False,
4,10.1002/lno.12032,-1,False,,,,
5,10.1002/lno.12427,-1,False,,,,
6,10.1002/lno.12366,-1,False,,,,
7,10.1002/lno.12365,-1,True,,,,
8,10.1002/lno.12365,0,True,False,False,False,
9,10.1002/lno.12365,1,True,False,False,False,
10,10.1002/lno.12365,2,True,False,False,False,
11,10.1002/lno.12365,3,True,False,False,False,
12,10.1002/lno.12365,4,True,False,False,False,
13,10.1002/lno.12365,5,True,False,False,False,
14,10.1002/lno.12365,6,True,False,True,False,
15,10.1002/lno.12365,7,True,False,False,False,
16,10.1002/lno.12365,8,True,False,False,False,
17,10.1002/lno.12365,9,True,False,False,False,
18,10.1002/lno.12365,10,True,False,False,False,
19,10.1002/lno.12365,11,True,False,False,False,
20,10.1002/lno.12365,12,True,False,False,False,
21,10.1002/lno.12365,13,True,False,False,False,
22,10.1002/lno.12365,14,True,False,False,False,
23,10.1002/lno.12365,15,True,False,False,False,
24,10.1002/lno.12365,16,True,False,False,False,
25,10.1002/lno.12365,17,True,False,False,False,
26,10.1002/lno.12365,18,True,False,False,False,
27,10.1002/lno.12553,-1,False,,,,
28,10.1002/lno.11738,-1,False,,,,
29,10.1002/lno.11791,-1,False,,,,
30,10.1002/lno.11678,-1,True,,,,
31,10.1002/lno.11678,0,True,False,False,False,
32,10.1002/lno.11678,1,True,False,False,False,
33,10.1002/lno.11678,2,True,False,False,False,
34,10.1002/lno.11678,3,True,False,False,False,
35,10.1002/lno.11678,4,True,False,False,False,
36,10.1002/lno.11678,5,True,False,False,False,
37,10.1002/lno.11678,6,True,False,False,False,
38,10.1002/lno.11678,7,True,False,True,False,
39,10.1002/lno.11678,8,True,False,True,False,
40,10.1002/lno.11678,9,True,False,True,False,
41,10.1002/lno.11678,10,True,False,True,False,
42,10.1002/lno.11678,11,True,False,False,False,
43,10.1002/lno.11678,12,True,False,True,False,
44,10.1002/lno.11678,13,True,False,False,False,
45,10.1002/lno.11678,14,True,False,True,False,
46,10.1002/lno.11678,15,True,False,False,False,
47,10.1002/lno.11678,16,True,False,False,False,
48,10.1002/lno.11678,17,True,False,False,False,
49,10.1002/lno.11678,18,True,False,True,False,
50,10.1002/lno.11678,19,True,False,False,False,
51,10.1002/lno.11678,20,True,False,False,False,
52,10.1002/lno.11678,21,True,False,False,False,
53,10.1002/lno.11678,22,True,False,True,False,
54,10.1002/lno.11678,23,True,False,False,False,
55,10.1002/lno.11678,24,True,False,False,False,
56,10.1002/lno.11678,25,True,False,True,False,
57,10.1002/lno.11678,26,True,False,True,False,
58,10.1002/lno.11678,27,True,False,False,False,
59,10.1002/lno.11678,28,True,False,False,False,
60,10.1002/lno.11678,29,True,False,True,False,
61,10.1002/lno.11678,30,True,False,False,False,
62,10.1002/lno.11678,31,True,False,True,False,
63,10.1002/lno.11678,32,True,False,False,False,
64,10.1002/lno.11678,33,True,False,False,False,
65,10.1002/lno.11678,34,True,False,False,False,
66,10.1002/lno.11678,35,True,False,True,False,
67,10.1002/lno.11678,36,True,False,False,False,
68,10.1002/lno.11678,37,True,False,False,False,
69,10.1002/lno.11678,38,True,False,False,False,
70,10.1002/lno.11678,39,True,False,False,False,
71,10.1002/lno.11678,40,True,False,False,False,
72,10.1002/lno.11678,41,True,False,False,False,
