,doi,chunk,abstract_bool,text,definition_bool,table_bool,measurement_bool,definition
0,10.1002/lno.12682,-1,False,,,,,
1,10.1002/lno.11852,-1,False,,,,,
2,10.1002/lno.11846,-1,True,,,,,
3,10.1002/lno.11846,0,True,"# THE ASSOCIATION FOR THE SCIENCES OF LIMNOLOGY AND OCEANOGRAPHY, INC
## Abstract


## LIMNOLOGY AND OCEANOGRAPHY
Editor-in-Chief: K. DAVID HAMBRIGHT Deputy Editors: JULIA C. MULLARNEY, STEVE COMEAU, and ELISA SCHAUM Associate Managing Editor: ELLE CUMBERBATCH Associate Editors: JOSEF D. ACKERMAN DAVID ANTOINE ANNA R. ARMITAGE DAVID M. BAKER KELLY J. BENOIT-BIRD ILANA BERMAN-FRANK LEON BOEGMAN LAURA BRISTOW MICHELE BURFORD BINGZHANG CHEN PERRAN COOK CHRISTOPHER CORNWALL JOHN DOWNING WERNER ECKERT ANJA ENGEL BRADLEY D. EYRE ROBINSON W. FULWEILER HANS-PETER GROSSART ROBERT O. HALL, JR VANESSA HATJE PETER HERNES JANA HINNERS LAUREN JURANEK THOMAS KIØRBOE ELIZABETH KUJAWINSKI PHYLLIS LAM JAMES J. LEICHTER YONG LIU CATHERINE LOVELOCK SALLY MACINTYRE BIRTE MATTHIESSEN JOHN M. MELACK CHRISTELLE NOT MAITANE OLABARRIETA MARIE-ELODIE PERGA TATIANA RYNEARSON FLORENCE SCHUBOTZ PIET SPAAK RYAN A. SPONSELLER EDWARD STETS MAREN STRIEBEL MICHAEL R. STUKEL OSVALDO ULLOA KIMBERLY VAN METER GRACE M. WILKINSON TAKEHITO YOSHIDA YUNLIN ZHANG",False,False,False,
4,10.1002/lno.12032,-1,False,,,,,
5,10.1002/lno.12427,-1,False,,,,,
6,10.1002/lno.12366,-1,False,,,,,
7,10.1002/lno.12365,-1,True,,,,,
8,10.1002/lno.12365,0,True,"# Multidecadal changes in ocean transparency: Decrease in a coastal upwelling region and increase offshore
## Abstract
Detection of the effects of climate change on ocean ecosystems is often limited by the short duration of available time series. Here, we use ocean transparency measurements (the Secchi disk depth, Z SD ) in the California Current Ecosystem since 1949 and combine them with satellite estimates. Historic in situ measurements of Z SD were irregular in space and time and are difficult to interpret in time series due to biases introduced by changing locations and timing. We normalize historic Z SD measurements with satellite-derived mean climatology and create a merged in situ-satellite time series of Z SD for the last $ 73 yr. Although interannual variability in Z SD is dominated by El Niño Southern Oscillation-related variability ($ 50% of the total variance in many areas), a secular trend of decreasing transparency that is correlated with increasing productivity is detected 0-300 km from the coast in an area affected by coastal upwelling north of 27 N. In contrast, increasing transparency (correlated with decreasing productivity) is detected offshore (> 1000 km from the coast). In addition to those general trends, transparency is also increasing in coastal area off Baja California south of 27 N.",False,False,False,
9,10.1002/lno.12365,1,True,"## Untitled Section
Oceanic phytoplankton play an important role in the global carbon budget and any changes in their productivity and composition are therefore of special interest for global climate change and biogeochemical cycling (Behrenfeld et al. 2016;Falkowski et al. 2008). A claim by Boyce et al. (2010Boyce et al. ( , 2012Boyce et al. ( , 2014) that global phytoplankton biomass has drastically declined over the last 100 yr has been challenged (McQuatters-Gollop et al. 2011 and others) and is affected by uncertainties in the available data. Climate-driven trends in global phytoplankton are typically evaluated using satellite data but these time series are relatively short and open to different interpretation (Behrenfeld et al. 2006(Behrenfeld et al. , 2016;;Martinez et al. 2009). Longer time series can be estimated using geochemical methods (Osman et al. 2019) or numerical models (Dutkiewicz et al. 2019;Cael et al. 2021).",False,False,False,
