,doi,chunk,abstract_bool,text,definition_bool,table_bool,definition
0,ponds1,-1,True,,,,
1,ponds1,0,True,"# Specificity of zooplankton distribution in meteorite crater ponds (Morasko, Poland)
## Abstract
saisonnalité, conditions trophiqueset 5107 ind L -1 en moyenne), tandis que les crustacés ont prévalu durant l'été (12 et 201, respectivement). La structure dominante dépendait aussi de la saison, avec des espèces pélagiques présentes au printemps et en automne, et principalement des espèces littorales en été. En outre, le caractère temporaire des cratères a causé une grande différenciation du zooplancton entre les étangs et a favorisé les organismes adaptés à la vie dans les milieux temporaires, par exemple, bdelloïdes, Daphnia pulex ou Macrocyclops viridis. La co-occurrence d'une communauté variable de petits crustacés avec de grandes daphnies indique l'existence d'une niche écologique supplémentaire -une épaisse couche de sédiments. Malgré l'apparition de mauvaises conditions de vie (manque d'oxygène et d'assèchements périodiques) et le caractère eutrophe des eaux, ces étangs ont été une source de nombreuses espèces rares (par exemple Keratella paludosa), même dominantes dans ces milieux. Les mesures de protection (une réserve naturelle) ont permis à la région de la chute de la météorite de rester tout à fait naturelle, en dépit de son emplacement à proximité d'une zone urbaine.",False,False,
2,ponds1,1,True,"## Untitled Section
This study was conducted in order to define the most important factors responsible for the zooplankton community structure inhabiting four meteorite crater ponds, located near the city of Pozna ń (Poland). The functioning of the meteorite craters resembled that of other small water bodies, where seasonality, physical-chemical features (mainly chlorophyll a concentration, pH and conductivity) or biological parameters (lack of fish) structured zooplankton assemblages. Rotifer species richness and abundance were highest in the autumn (12 species and 5107 ind L -1 on average), while crustaceans prevailed in the summer (12 and 201, respectively). The dominating structure also depended on the season, with pelagic species occurring in the spring and autumn and mainly littoral species in the summer. Moreover, the temporary nature of the craters caused great differentiation in zooplankton among ponds and favoured organisms adapted to living in astatic reservoirs, e.g. bdelloids, Daphnia pulex or Macrocyclops viridis. The co-occurrence of a variable community of small crustaceans with large daphnids indicated the existence of an additional ecological niche -a thick layer of sediments. Despite the occurrence of adverse living conditions (oxygen deficiencies and periodic drying) and the eutrophic character of the waters, these ponds were a source of many rare species (e.g. Keratella paludosa), even in the status of dominants. Protective measures (a nature reserve) allowed the area of meteorite fall to remain quite natural, despite its location close to an urban area.## RÉSUMÉ
Spécificité de la distribution du zooplancton dans les plans d'eau de cratères de météorites (Morasko, Pologne)",False,False,
3,ponds1,2,True,"## Mots-clés :
étangs temporaires, crustacés, étang, rotifère, L'étude a été menée afin de définir les facteurs les plus importants responsables de la structure de la communauté du zooplancton vivant dans quatre étangs de cratères de météorites, situés près de la ville de Poznan (Pologne). Le fonctionnement des cratères de météorites ressemble à celui d'autres petits plans d'eau, où la saisonnalité, les caractéristiques physico-chimiques (principalement concentration de chlorophylle a, pH et conductivité) ou les paramètres biologiques (manque de poisson) structurent les assemblages de zooplancton. La richesse et l'abondance des espèces de rotifères étaient les plus élevées à l'automne (12 espèces",False,False,
4,ponds1,3,True,"## INTRODUCTION
The functioning of small water bodies may differ in a variety of aspects from that of lakes (Biggs et al., 2005;Likens, 2009). Even though small aquatic ecosystems create favourable conditions for a number of organisms of various ecological requirements, they have never received much attention from researchers compared with larger reservoirs (Oertli et al., 2002). This especially applies to a specific and very unique kind of pond -meteorite craters, which were the object of this research. The origin of ponds is very diverse and they can be created by a wide range of natural processes such as glaciation, volcanic activity, land subsidence, wind or river action, and tree falls, as well as by human activities such as mineral extraction or water storage (Oertli et al., 2005). Meteorite crater water bodies, however, belong to a very rare kind of aquatic ecosystem. This is why our knowledge of their functioning, including seasonal changes in the structure and dynamics of their inhabiting organisms, is still rudimentary. Therefore, a study on the relationships between zooplankton occurrence and the physical-chemical features of such unique ecosystems is extremely necessary, especially as human impact and adverse climatic conditions may contribute to their rapid disappearance. One of the main problems connected with the functioning of small aquatic ecosystems may lie in an increase in trophic conditions which are equated with the amount of nutrients dissolved in water and deposited in sediments. The quality of waters will reflect the character of the catchment area and also the level of anthropogenic transformation in the surrounding area (Dodson et al., 2007), particularly when a pond is situated in the vicinity of urban areas. This is why the main focus of this study, conducted on the meteorite crater ponds which are located in the neighbourhood of the city of Pozna ń, was directed at estimating the impact of abiotic features of the aquatic environment on the structure of both rotifer and crustacean communities in seasonal terms, including spring, summer and autumn. Furthermore, small water bodies create vital hotspots and refugia for aquatic biodiversity in a variety of landscape types. This is particularly important on the local scale as they are aquatic habitats of a great abundance of distribution, being usually much more common than larger lakes (Søndergaard et al., 2005). Their role in agricultural, forested and urban regions is vital. As the morphometric features of ponds will make them prone to changes occurring in the surrounding environment, they are among the most threatened habitats (Oertli et al., 2005). Moreover, the vast majority of small water bodies undergo the process of terrestrialisation, which may result in negative implications for biodiversity. Not only will the concentration of nutrients structure the assemblages of plankton in small water bodies, but physical factors will also play a role (Karabin et al., 1997;Wilk-Wo źniak et al., 2011;Czerniawski and Domagała, 2012). However, in ecosystems with varying environmental conditions, organisms have to adapt in order to survive and develop. Therefore, particular
Table I The main morphometric features of examined meteorite craters. parameter pond I pond II pond III pond IV Maximum depth [m] 1 1 0.3 0.7 Diameter [m] 40 28 30 13 Surface area [m 2 ] 1100 517 197 135
species of zooplankton have evolved different adaptations which significantly influence their distribution (Hofmann, 1977;B ẽrzinš and Pejler, 1987B ẽrzinš and Pejler, , 1989aB ẽrzinš and Pejler, , 1989b;;Galkovskaja, 1987). Furthermore, biotic relationships between particular groups of organisms, including predation pressure and/or competition, is often of great importance when discussing distribution of zooplankton inhabiting small aquatic systems (Wickham and Gilbert, 1990;W ęgle ńska et al., 1997). A lack of fish in an aquatic environment may contribute to changes in the food webs, and in particular, the simplification of animal plankton structure because large representatives of crustaceans may over-dominate, thus winning the competition with smaller zooplankters.",False,True,
5,ponds1,4,True,"In the Morasko meteorite crater ponds, where as a result of periodical drying up and oxygen deficiencies no fish occur, bottom sediments may provide zooplankton with an additional ecological niche. Therefore, we hypothesised that despite the occurrence of large daphnids, which is a typical feature of fishless ponds, a variable crustacean community will be present due to their utilisation of these sediments.",False,False,
6,ponds1,5,True,"## STUDY AREA
The Morasko meteorite nature reserve is situated in Morasko (N: 52 • 28 57.11, E: 16 • 53 27.82), in the northern part of the city of Pozna ń, in western Poland. The area within the reserve is made up of a unique combination of both the meteorites and the morphological effects of their fall (Stankowski, 2001). These craters are among the largest groups of craters on Earth, both in relation to their size and number. They form a group of seven meteorite craters, located on the slope of ""Góra Moraska"", which creates a culmination of an end-moraine ridge. They are round in shape and shallow, with the maximum depth of the largest water body not exceeding 1 m (Table I). All ponds were transparent to the bottom during the whole investigation period. The Morasko meteorite nature reserve was created in 1976 and it covers an area of 55 hectares. All the ponds are situated within the forest area (Figure 1). These meteorite craters are supplied only by rainwater. Therefore, due to the temporal character of most of them, only some ponds still exist, while others have already dried out completely. Two ponds (Nos. I and II), that underwent the investigation, carried water throughout the whole period of examination; however, in the autumn season a considerable loss of water depth was observed. At the same time, two other craters (Nos. III and IV) had no water in the autumn. As a result of oxygen deficiencies and low pH no fish occur in these water bodies.",False,True,
7,ponds1,6,True,"## MATERIAL AND METHODS
The investigation of the zooplankton community structure was carried out in 2009 (one occasion for each season). Despite the fact that there are seven craters within the investigated area, not all of them contained water. Therefore, four ponds were examined in the spring and summer, while in the autumn, due to the drying process, only two ponds were included in the study. Zooplankton material was taken in triplicate at each site using a calibrated vessel of a volume of 5 L. The samples, collected from the open water area in the central part of each pond, were concentrated using a 45-µm plankton net and fixed immediately with 4% formalin.Temperature, pH and electric conductivity were measured directly at the sampling sites using Hanna portable combo waterproof meters. Water transparency was evaluated using a standard 20-cm diameter Secchi disc. Water samples were also collected in order to analyse chemical content (total phosphorus -TP, and dissolved inorganic nitrogen -DIN) using the methods described by Hermanowicz et al. (1999). Chlorophyll a was determined fluorometrically and corrected for degradation products according to Lorenzen (1966) and its concentrations were given as active photosynthetic pigments.Water trophy was assessed according to the Carlson (1977) classification. The level of the trophic conditions, TSI Tot , was related to the ranges proposed by Kraska et al. (1999).To define the species diversity of zooplankton inhabiting different meteorite crater ponds, the Shannon-Weaver index was applied (Margalef, 1957). The Kruskal-Wallis test was used in order to determine the effect of season or pond on zooplankton densities, the Shannon-Weaver index of zooplankton diversity and environmental characteristics (N = 30). The correlation between physical-chemical parameters and zooplankton diversity was calculated using the Spearman rank correlation coefficient.",False,False,
8,ponds1,7,True,"## RESULTS
## > CHARACTERISTICS OF ENVIRONMENTAL VARIABLES
The four examined meteorite crater ponds were characterised by a light acidic to neutral reactivity of the water (mean 6.77 ± 0.31, irrespective of pond and season). Conductivity was at a similar level throughout the whole study period and reached values of over 400 ± 246 µS•cm -1 on average. There were great differences in the water temperature (KW-H 2,30 = 23.73, p < 0.01) with mean values between 7 ± 0.0 and 19 ± 0.7 • C, depending on the season (Table II).The values of DIN reached the highest concentration in the summer; however, the seasonal variation was not great. Mean values of total phosphorus were high and revealed an increasing pattern of seasonal distribution, from 0.67 ± 0.5 in the spring to 1.6 ± 0.13 mg•L -1 in the autumn (KW-H 2,30 = 15.38, p < 0.05). A similar pattern of seasonal distribution was obtained for chlorophyll a concentration (KW-H 2,30 = 12.92, p < 0.05), which reached its highest level of 48 ± 14 mg•m -3 on average in the autumn (Table II).",False,True,
9,ponds1,8,True,"Table II Descriptive data on zooplankton community structure and physical-chemical parameters in particular seasons and in certain crater. pond No. I I I II II II III III IV IV Parameter spring summer autumn spring summer autumn spring summer spring summer Rotifera density 188 555 10150 30 34 64 560 220 48 324 (ind L -1 ) Rotifera number 4 13 13 5 11 10 7 4 8 13 of species Cladocera density 3 316 60 10 120 99 25 299 3 39 (ind L -1 ) Cladocera number 3 11 8 7 9 5 7 11 3 9 of species Copepoda density 18 23 2 12 1 1 1 3 25 3 (ind L -1 ) Copepoda number 2 3 1 4 1 1 1 1 4 2 of species Rotifera 0.17 1.51 0.46 0.74 1.94 0.97 0.57 0.6 0.96 1.32 Shannon Crustacea 0.44 1.59 1.07 1.87 1.2 0.28 1.56 1.07 0.78 1.69 Shannon DIN (mg•L -1 ) 9.197 7.334 7.695 6.824 8.481 8.719 6.534 5.19 19.287 24.984 TP (mg•L -1 ) 1.23 1.41 1.51 0.33 1.64 1.7 0.94 0.45 0.16 2.1 Chlorophyll a 9.09 19.25 58.14 7.22 1.6 38.09 3.47 12.83 15.5 44.37 (mg•m -3 ) Temperature 7 19 7 9 19 7 9 20 7 20 ( • C) pH 6.6 6.78 6.8 6.8 7.45 6.6 6.5 7.01 6.3 6.81 Conductivity 173 173 173 761 761 761 338 338 445 445 (µS•cm -1 ) TSI total 46.3 50.9 56.9 35.1 39.8 55.8 39.6 64.9 41.6 57.6
Trophic conditions estimated according to the Carlson classification (Carlson, 1977) revealed a eutrophic character of the water on average throughout the whole examination; however, a tendency for values to increase from spring to autumn was also observed (Table II).",False,True,
