,title,page,definition_bool,definition,table_bool
0,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",0,False,,False
1,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",1,False,,False
2,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",2,False,,True
3,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",3,False,,False
4,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",4,False,,True
5,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",5,False,,True
6,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",6,False,,False
7,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",7,False,,False
8,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",8,False,,False
9,"Pond 1: Specificity of zooplankton distribution in meteorite craterponds (Morasko, Poland)",9,False,,False
10,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,0,True,The context defines **ponds** as: “small lentic ecosystems that permanently or temporarily hold water”. It further specifies that they are “shallow” and “their size ranges from a few square metres to several hectares”.,False
11,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,1,False,,True
12,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,2,False,,True
13,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,3,False,,True
14,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,4,False,,True
15,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,5,False,,False
16,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,6,False,,False
17,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,7,False,,False
18,Pond 2: Environmental Conditions and Macrophytes of Karst Ponds,8,False,,False
19,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",0,False,,False
20,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",1,False,,True
21,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",2,False,,True
22,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",3,False,,True
23,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",4,False,,True
24,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",5,False,,False
25,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",6,False,,True
26,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",7,False,,True
27,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",8,False,,True
28,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",9,False,,True
29,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",10,False,,False
30,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",11,False,,False
31,"Pond 3: Drivers of carbon dioxide and methane supersaturation in small, temporary ponds",12,False,,False
32,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,0,False,,False
33,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,1,False,,False
34,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,2,False,,True
35,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,3,False,,True
36,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,4,False,,False
37,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,5,False,,True
38,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,6,False,,False
39,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,7,False,,False
40,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,8,False,,False
41,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,9,False,,True
42,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,10,False,,True
43,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,11,False,,True
44,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,12,False,,False
45,Lake 1: Lake metabolism scales with lake morphometry and catchment conditions,13,False,,False
46,Lake 2: Net Heterotrophy in Small Danish Lakes: A Widespread Feature  Over Gradients in Trophic Status and Land Cover,0,False,,False
47,Lake 2: Net Heterotrophy in Small Danish Lakes: A Widespread Feature  Over Gradients in Trophic Status and Land Cover,1,False,,True
