,doi,chunk,abstract_bool,definition_bool,table_bool
0,10.1002/lno.12769,-1,True,,
1,10.1002/lno.12769,0,True,False,False
2,10.1002/lno.12769,1,True,False,False
3,10.1002/lno.12769,2,True,False,False
4,10.1002/lno.12769,3,True,False,False
5,10.1002/lno.12769,4,True,False,False
6,10.1002/lno.12769,5,True,False,False
7,10.1002/lno.12769,6,True,False,False
8,10.1002/lno.12769,7,True,False,False
9,10.1002/lno.12769,8,True,False,False
10,10.1002/lno.12769,9,True,False,False
11,10.1002/lno.12769,10,True,False,False
12,10.1002/lno.12769,11,True,False,False
13,10.1002/lno.12769,12,True,False,False
14,10.1002/lno.12769,13,True,False,False
15,10.1002/lno.12769,14,True,False,False
16,10.1002/lno.12769,15,True,False,False
17,10.1002/lno.12769,16,True,False,False
18,10.1002/lno.12769,17,True,False,False
19,10.1002/lno.12769,18,True,False,False
20,10.1002/lno.70071,-1,False,,
21,10.1002/lno.12802,-1,True,,
22,10.1002/lno.12802,0,True,False,False
23,10.1002/lno.12812,-1,False,,
24,10.1002/lno.12773,-1,False,,
25,10.1002/lno.70066,-1,True,,
26,10.1002/lno.70066,0,True,False,False
27,10.1002/lno.12779,-1,False,,
28,10.1002/lno.70045,-1,False,,
29,10.1002/lno.70082,-1,True,,
30,10.1002/lno.70082,0,True,False,False
31,10.1002/lno.70082,1,True,False,False
32,10.1002/lno.70082,2,True,False,False
33,10.1002/lno.70082,3,True,False,False
34,10.1002/lno.70082,4,True,False,False
35,10.1002/lno.70082,5,True,False,False
36,10.1002/lno.70082,6,True,False,False
37,10.1002/lno.70082,7,True,False,False
38,10.1002/lno.70082,8,True,False,False
39,10.1002/lno.70082,9,True,False,False
40,10.1002/lno.70082,10,True,False,False
41,10.1002/lno.70001,-1,False,,
42,10.1002/lno.12782,-1,True,,
43,10.1002/lno.12782,0,True,False,False
44,10.1002/lno.12782,1,True,False,False
45,10.1002/lno.12782,2,True,False,False
46,10.1002/lno.12782,3,True,False,False
47,10.1002/lno.12782,4,True,False,False
48,10.1002/lno.12782,5,True,False,False
49,10.1002/lno.12782,6,True,False,False
50,10.1002/lno.12782,7,True,False,False
51,10.1002/lno.12782,8,True,False,False
52,10.1002/lno.12782,9,True,False,False
53,10.1002/lno.12782,10,True,False,False
54,10.1002/lno.12782,11,True,False,False
55,10.1002/lno.12782,12,True,False,False
56,10.1002/lno.70023,-1,False,,
57,10.1002/lno.70006,-1,False,,
58,10.1002/lno.70080,-1,False,,
59,10.1002/lno.12748,-1,False,,
60,10.1002/lno.12716,-1,False,,
61,10.1002/lno.70009,-1,True,,
62,10.1002/lno.70009,0,True,False,False
63,10.1002/lno.12730,-1,False,,
64,10.1002/lno.12759,-1,False,,
65,10.1002/lno.12752,-1,False,,
66,10.1002/lno.70089,-1,False,,
67,10.1002/lno.70042,-1,False,,
68,10.1002/lno.12790,-1,True,,
69,10.1002/lno.12790,0,True,False,False
70,10.1002/lno.12732,-1,False,,
71,10.1002/lno.12733,-1,False,,
72,10.1002/lno.12742,-1,False,,
73,10.1002/lno.12768,-1,False,,
74,10.1002/lno.70003,-1,False,,
75,10.1002/lno.70088,-1,False,,
76,10.1002/lno.12797,-1,False,,
77,10.1002/lno.70062,-1,False,,
78,10.1002/lno.12809,-1,False,,
79,10.1002/lno.12788,-1,True,,
80,10.1002/lno.12788,0,True,False,False
81,10.1002/lno.12788,1,True,False,False
82,10.1002/lno.12788,2,True,False,False
83,10.1002/lno.12788,3,True,False,False
84,10.1002/lno.12788,4,True,False,False
85,10.1002/lno.12788,5,True,False,False
86,10.1002/lno.12788,6,True,False,False
87,10.1002/lno.12788,7,True,False,False
88,10.1002/lno.12788,8,True,False,True
89,10.1002/lno.12788,9,True,False,False
90,10.1002/lno.12788,10,True,False,True
91,10.1002/lno.12788,11,True,False,False
92,10.1002/lno.12788,12,True,False,False
93,10.1002/lno.70052,-1,True,,
94,10.1002/lno.70052,0,True,False,False
95,10.1002/lno.70052,1,True,False,False
96,10.1002/lno.70052,2,True,False,False
97,10.1002/lno.70052,3,True,False,False
98,10.1002/lno.70052,4,True,False,False
99,10.1002/lno.70052,5,True,False,False
100,10.1002/lno.70052,6,True,False,False
101,10.1002/lno.70052,7,True,False,False
102,10.1002/lno.70052,8,True,False,False
103,10.1002/lno.70052,9,True,False,False
104,10.1002/lno.70052,10,True,False,False
105,10.1002/lno.70052,11,True,False,False
106,10.1002/lno.12734,-1,False,,
107,10.1002/lno.12776,-1,True,,
108,10.1002/lno.12776,0,True,False,False
109,10.1002/lno.12715,-1,True,,
110,10.1002/lno.12715,0,True,False,False
111,10.1002/lno.12715,1,True,False,False
112,10.1002/lno.12715,2,True,False,False
113,10.1002/lno.12715,3,True,False,False
114,10.1002/lno.12715,4,True,False,False
115,10.1002/lno.12715,5,True,False,False
116,10.1002/lno.12715,6,True,False,False
117,10.1002/lno.12715,7,True,False,False
118,10.1002/lno.12715,8,True,False,False
119,10.1002/lno.12715,9,True,False,False
120,10.1002/lno.12715,10,True,False,False
121,10.1002/lno.12722,-1,False,,
122,10.1002/lno.70016,-1,False,,
123,10.1002/lno.12800,-1,False,,
124,10.1002/lno.12738,-1,False,,
125,10.1002/lno.70060,-1,False,,
126,10.1002/lno.70024,-1,False,,
127,10.1002/lno.12472,-1,True,,
128,10.1002/lno.12472,0,True,False,False
129,10.1002/lno.70002,-1,False,,
130,10.1002/lno.12781,-1,False,,
131,10.1002/lno.70019,-1,False,,
132,10.1002/lno.70037,-1,False,,
133,10.1002/lno.70054,-1,True,,
134,10.1002/lno.70054,0,True,False,False
135,10.1002/lno.70054,1,True,False,False
136,10.1002/lno.70054,2,True,False,False
137,10.1002/lno.70054,3,True,False,False
138,10.1002/lno.70054,4,True,False,False
139,10.1002/lno.70054,5,True,False,False
140,10.1002/lno.70054,6,True,False,False
141,10.1002/lno.70054,7,True,False,False
142,10.1002/lno.70054,8,True,False,False
143,10.1002/lno.70054,9,True,False,False
144,10.1002/lno.12808,-1,True,,
145,10.1002/lno.12808,0,True,False,False
146,10.1002/lno.12808,1,True,False,False
147,10.1002/lno.12808,2,True,False,False
148,10.1002/lno.12808,3,True,False,False
149,10.1002/lno.12808,4,True,False,False
150,10.1002/lno.12808,5,True,False,False
151,10.1002/lno.12808,6,True,False,False
152,10.1002/lno.12808,7,True,False,False
153,10.1002/lno.12808,8,True,False,False
154,10.1002/lno.12808,9,True,False,False
155,10.1002/lno.70050,-1,False,,
156,10.1002/lno.12377,-1,False,,
157,10.1002/lno.12760,-1,False,,
158,10.1002/lno.12811,-1,False,,
159,10.1002/lno.12743,-1,False,,
160,10.1002/lno.70034,-1,True,,
161,10.1002/lno.70034,0,True,False,False
162,10.1002/lno.70034,1,True,False,False
163,10.1002/lno.70034,2,True,False,False
164,10.1002/lno.70034,3,True,False,False
165,10.1002/lno.70034,4,True,False,False
166,10.1002/lno.70034,5,True,False,False
167,10.1002/lno.70034,6,True,False,False
168,10.1002/lno.70034,7,True,False,False
169,10.1002/lno.70034,8,True,False,False
170,10.1002/lno.70034,9,True,False,False
171,10.1002/lno.70034,10,True,False,False
172,10.1002/lno.70034,11,True,False,False
173,10.1002/lno.70034,12,True,False,False
174,10.1002/lno.70034,13,True,False,False
175,10.1002/lno.70034,14,True,False,False
176,10.1002/lno.70034,15,True,False,False
177,10.1002/lno.70039,-1,False,,
178,10.1002/lno.12714,-1,True,,
179,10.1002/lno.12714,0,True,False,False
180,10.1002/lno.12714,1,True,False,False
181,10.1002/lno.12714,2,True,False,False
182,10.1002/lno.12714,3,True,False,False
183,10.1002/lno.12714,4,True,False,False
184,10.1002/lno.12714,5,True,False,False
185,10.1002/lno.12796,-1,False,,
186,10.1002/lno.12762,-1,False,,
187,10.1002/lno.12718,-1,False,,
188,10.1002/lno.12757,-1,False,,
189,10.1002/lno.70025,-1,False,,
190,10.1002/lno.70053,-1,True,,
191,10.1002/lno.70053,0,True,False,False
192,10.1002/lno.70053,1,True,False,False
193,10.1002/lno.70053,2,True,False,False
194,10.1002/lno.70053,3,True,False,False
195,10.1002/lno.70053,4,True,False,False
196,10.1002/lno.70053,5,True,False,False
197,10.1002/lno.70053,6,True,False,False
198,10.1002/lno.70053,7,True,False,True
199,10.1002/lno.70053,8,True,False,True
200,10.1002/lno.70053,9,True,False,False
201,10.1002/lno.70053,10,True,False,False
202,10.1002/lno.70053,11,True,False,False
203,10.1002/lno.70053,12,True,False,False
204,10.1002/lno.12750,-1,False,,
205,10.1002/lno.70012,-1,False,,
206,10.1002/lno.70033,-1,False,,
207,10.1002/lno.70059,-1,False,,
208,10.1002/lno.12807,-1,False,,
209,10.1002/lno.12745,-1,False,,
210,10.1002/lno.12771,-1,False,,
211,10.1002/lno.12810,-1,False,,
212,10.1002/lno.12737,-1,False,,
213,10.1002/lno.12794,-1,False,,
214,10.1002/lno.70087,-1,False,,
215,10.1002/lno.12792,-1,False,,
216,10.1002/lno.12795,-1,False,,
217,10.1002/lno.12805,-1,True,,
218,10.1002/lno.12805,0,True,False,False
219,10.1002/lno.12736,-1,True,,
220,10.1002/lno.12736,0,True,False,False
221,10.1002/lno.12736,1,True,False,False
222,10.1002/lno.12736,2,True,False,False
223,10.1002/lno.12736,3,True,False,False
224,10.1002/lno.12736,4,True,False,False
225,10.1002/lno.12736,5,True,False,False
226,10.1002/lno.12736,6,True,False,False
227,10.1002/lno.12736,7,True,False,False
228,10.1002/lno.12736,8,True,False,False
229,10.1002/lno.12736,9,True,False,False
230,10.1002/lno.12736,10,True,False,False
231,10.1002/lno.12736,11,True,False,False
232,10.1002/lno.12736,12,True,False,False
233,10.1002/lno.12736,13,True,False,False
234,10.1002/lno.12766,-1,False,,
235,10.1002/lno.70055,-1,True,,
236,10.1002/lno.70055,0,True,False,False
237,10.1002/lno.70055,1,True,False,False
238,10.1002/lno.70055,2,True,False,False
239,10.1002/lno.70055,3,True,False,False
240,10.1002/lno.70055,4,True,False,False
241,10.1002/lno.70055,5,True,False,False
242,10.1002/lno.70055,6,True,False,False
243,10.1002/lno.70055,7,True,False,False
244,10.1002/lno.70055,8,True,False,False
245,10.1002/lno.70055,9,True,False,False
246,10.1002/lno.70055,10,True,False,False
247,10.1002/lno.70055,11,True,False,False
248,10.1002/lno.12777,-1,True,,
249,10.1002/lno.12777,0,True,False,False
250,10.1002/lno.70064,-1,True,,
251,10.1002/lno.70064,0,True,False,False
252,10.1002/lno.70064,1,True,False,False
253,10.1002/lno.70064,2,True,False,False
254,10.1002/lno.70064,3,True,False,False
255,10.1002/lno.70064,4,True,False,False
256,10.1002/lno.70064,5,True,False,True
257,10.1002/lno.70064,6,True,False,False
258,10.1002/lno.70064,7,True,False,False
259,10.1002/lno.70064,8,True,False,False
260,10.1002/lno.70064,9,True,False,False
261,10.1002/lno.70064,10,True,False,False
262,10.1002/lno.70064,11,True,False,False
263,10.1002/lno.70064,12,True,False,False
264,10.1002/lno.70064,13,True,False,True
265,10.1002/lno.70079,-1,False,,
266,10.1002/lno.12765,-1,False,,
267,10.1002/lno.12772,-1,False,,
268,10.1002/lno.70011,-1,False,,
269,10.1002/lno.12818,-1,False,,
270,10.1002/lno.12725,-1,False,,
271,10.1002/lno.70031,-1,False,,
272,10.1002/lno.70058,-1,False,,
273,10.1002/lno.70027,-1,False,,
274,10.1002/lno.12749,-1,False,,
275,10.1002/lno.12751,-1,False,,
276,10.1002/lno.12786,-1,True,,
277,10.1002/lno.12786,0,True,False,False
278,10.1002/lno.12786,1,True,False,False
279,10.1002/lno.12786,2,True,False,False
280,10.1002/lno.12786,3,True,False,False
281,10.1002/lno.12786,4,True,False,False
282,10.1002/lno.12786,5,True,False,False
283,10.1002/lno.12786,6,True,False,False
284,10.1002/lno.12786,7,True,False,False
285,10.1002/lno.12786,8,True,False,False
286,10.1002/lno.12786,9,True,False,False
287,10.1002/lno.12786,10,True,False,False
288,10.1002/lno.12786,11,True,False,False
289,10.1002/lno.12786,12,True,False,False
290,10.1002/lno.12786,13,True,False,False
291,10.1002/lno.12786,14,True,False,False
292,10.1002/lno.70020,-1,True,,
293,10.1002/lno.70020,0,True,False,False
294,10.1002/lno.70020,1,True,False,False
295,10.1002/lno.70020,2,True,False,False
296,10.1002/lno.70020,3,True,False,False
297,10.1002/lno.70020,4,True,False,False
298,10.1002/lno.70020,5,True,False,False
299,10.1002/lno.70020,6,True,False,True
300,10.1002/lno.70020,7,True,False,False
301,10.1002/lno.70020,8,True,False,False
302,10.1002/lno.70020,9,True,False,False
303,10.1002/lno.70020,10,True,False,False
304,10.1002/lno.70020,11,True,False,False
305,10.1002/lno.70020,12,True,False,False
306,10.1002/lno.70020,13,True,False,False
307,10.1002/lno.70020,14,True,False,True
308,10.1002/lno.70020,15,True,False,True
309,10.1002/lno.70020,16,True,False,False
310,10.1002/lno.70020,17,True,False,False
311,10.1002/lno.70020,18,True,False,False
312,10.1002/lno.70020,19,True,False,False
313,10.1002/lno.70020,20,True,False,False
314,10.1002/lno.70020,21,True,False,True
315,10.1002/lno.12724,-1,True,,
316,10.1002/lno.12724,0,True,False,False
317,10.1002/lno.12724,1,True,False,False
318,10.1002/lno.12724,2,True,False,False
319,10.1002/lno.12724,3,True,False,False
320,10.1002/lno.12724,4,True,False,False
321,10.1002/lno.12724,5,True,False,False
322,10.1002/lno.12724,6,True,False,False
323,10.1002/lno.12724,7,True,False,False
324,10.1002/lno.12724,8,True,False,False
325,10.1002/lno.12724,9,True,False,False
326,10.1002/lno.12724,10,True,False,False
327,10.1002/lno.12724,11,True,False,False
328,10.1002/lno.12724,12,True,False,False
329,10.1002/lno.12724,13,True,False,False
330,10.1002/lno.12724,14,True,False,False
331,10.1002/lno.12724,15,True,False,False
332,10.1002/lno.12724,16,True,False,False
333,10.1002/lno.12724,17,True,False,False
334,10.1002/lno.12724,18,True,False,False
335,10.1002/lno.12724,19,True,False,False
