,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,ponds1,-1,True,,,
1,ponds1,0,True,False,False,
2,ponds1,1,True,False,True,
3,ponds1,2,True,False,False,
4,ponds1,3,True,False,True,
5,ponds1,4,True,False,False,
6,ponds1,5,True,False,False,
7,ponds1,6,True,False,False,
8,ponds1,7,True,False,False,
9,lakes3,-1,True,,,
10,lakes3,0,True,False,False,
11,lakes3,1,True,False,False,
12,lakes3,2,True,False,True,
13,lakes3,3,True,False,False,
14,lakes3,4,True,False,False,
15,lakes3,5,True,False,True,
16,lakes3,6,True,False,False,
17,lakes3,7,True,False,False,
18,lakes3,8,True,False,False,
19,lakes3,9,True,False,True,
20,lakes3,10,True,False,True,
21,lakes3,11,True,False,False,
22,lakes3,12,True,False,True,
23,lakes3,13,True,False,False,
24,lakes2,-1,True,,,
25,lakes2,0,True,False,False,
26,lakes2,1,True,False,False,
27,lakes2,2,True,False,True,
28,lakes2,3,True,False,False,
29,lakes2,4,True,False,False,
30,lakes2,5,True,False,False,
31,lakes2,6,True,False,False,
32,lakes2,7,True,False,True,
33,lakes2,8,True,False,False,
34,lakes2,9,True,False,False,
35,lakes2,10,True,False,True,
36,fake1,-1,False,,,
37,ponds3,-1,True,,,
38,ponds3,0,True,False,False,
39,ponds3,1,True,False,True,
40,ponds3,2,True,False,True,
41,ponds3,3,True,False,False,
42,ponds3,4,True,False,True,
43,ponds3,5,True,False,True,
44,ponds3,6,True,False,True,
45,ponds3,7,True,False,True,
46,ponds3,8,True,False,False,
47,ponds3,9,True,False,False,
48,ponds3,10,True,False,True,
49,definitions3,-1,True,,,
50,definitions3,0,True,False,False,
51,definitions3,1,True,True,False,"Ponds are generally defined as small (1 m<sup>2</sup> to ∼50,000 m<sup>2</sup>), shallow, standing water bodies that can either permanently or temporarily collect freshwater. 

</end_of_turn>"
52,definitions3,2,True,False,False,
53,definitions3,3,True,False,False,
54,definitions3,4,True,False,False,
55,definitions3,5,True,False,True,
56,definitions3,6,True,False,False,
57,definitions3,7,True,False,False,
58,definitions3,8,True,False,False,
59,definitions3,9,True,False,False,
60,definitions3,10,True,False,True,
61,definitions3,11,True,False,False,
62,fake3,-1,False,,,
63,lakes1,-1,True,,,
64,lakes1,0,True,False,False,
65,lakes1,1,True,False,False,
66,lakes1,2,True,False,False,
67,lakes1,3,True,False,True,
68,lakes1,4,True,False,False,
69,lakes1,5,True,False,True,
70,lakes1,6,True,False,False,
71,lakes1,7,True,False,False,
72,lakes1,8,True,False,True,
73,lakes1,9,True,False,False,
74,lakes1,10,True,False,True,
75,lakes1,11,True,False,True,
76,fake2,-1,False,,,
77,definitions2,-1,True,,,
78,definitions2,0,True,False,False,
79,definitions2,1,True,True,False,"Ponds are small standing waters varying in size from 1 m<sup>2</sup> to about 2-5 ha in area and may be permanent or seasonal, man-made or naturally created. 

</end_of_turn>"
80,definitions2,2,True,False,False,
81,definitions2,3,True,False,False,
82,definitions2,4,True,False,False,
83,definitions2,5,True,False,False,
84,definitions2,6,True,False,False,
85,definitions2,7,True,False,False,
86,definitions2,8,True,False,False,
87,definitions2,9,True,False,False,
88,definitions2,10,True,False,False,
89,definitions2,11,True,False,False,
90,definitions2,12,True,False,False,
91,definitions2,13,True,False,False,
92,definitions2,14,True,False,False,
93,definitions2,15,True,False,False,
94,definitions2,16,True,False,False,
95,definitions2,17,True,False,False,
96,definitions2,18,True,False,False,
97,definitions2,19,True,False,False,
98,definitions2,20,True,False,False,
99,definitions2,21,True,False,False,
100,definitions2,22,True,False,False,
101,definitions2,23,True,False,False,
102,definitions2,24,True,False,False,
103,definitions2,25,True,False,False,
104,definitions2,26,True,False,False,
105,ponds2,-1,True,,,
106,ponds2,0,True,True,False,"The context defines **ponds** as: “small lentic ecosystems that permanently or temporarily hold water. They are shallow and their size ranges from a few square metres to several hectares.”

It also defines **lakes** as constituting “a small percentage of the total number of lakes” but does not provide a specific definition beyond that.
"
107,ponds2,1,True,False,False,
108,ponds2,2,True,False,True,
109,ponds2,3,True,False,False,
110,ponds2,4,True,False,False,
111,ponds2,5,True,False,False,
112,ponds2,6,True,False,True,
113,definitions1,-1,True,,,
114,definitions1,0,True,False,False,
115,definitions1,1,True,False,False,
116,definitions1,2,True,True,True,"The context states that the small water bodies sampled “correspond to the criteria of the definition of a pond presented by Oertli et al. (2005a)”. However, the specific criteria of that definition are *not* provided in this excerpt. 

Therefore, the context gives a reference to a definition of ponds, but does not actually *state* the definition itself.
"
117,definitions1,3,True,False,False,
118,definitions1,4,True,False,False,
119,definitions1,5,True,False,False,
120,definitions1,6,True,False,True,
121,definitions1,7,True,False,False,
122,definitions1,8,True,False,True,
