,doi,chunk,abstract_bool,definition_bool,table_bool,definition
0,ponds1,-1,True,,,
1,ponds1,0,True,False,False,
2,ponds1,1,True,False,False,
3,ponds1,2,True,False,False,
4,ponds1,3,True,False,False,
5,ponds1,4,True,False,False,
6,ponds1,5,True,False,False,
7,ponds1,6,True,False,False,
8,ponds1,7,True,False,False,
9,lakes3,-1,True,,,
10,lakes3,0,True,False,False,
11,lakes3,1,True,False,False,
12,lakes3,2,True,False,False,
13,lakes3,3,True,False,False,
14,lakes3,4,True,False,False,
15,lakes3,5,True,False,False,
16,lakes3,6,True,False,True,
17,lakes3,7,True,False,False,
18,lakes3,8,True,False,True,
19,lakes3,9,True,False,False,
20,lakes3,10,True,False,False,
21,lakes3,11,True,False,False,
22,lakes3,12,True,False,False,
23,lakes3,13,True,False,False,
24,lakes3,14,True,False,False,
25,lakes3,15,True,False,False,
26,lakes2,-1,False,,,
27,fake1,-1,False,,,
28,ponds3,-1,True,,,
29,ponds3,0,True,False,False,
30,ponds3,1,True,True,False,"Inland waters, as described in the given context, include both ponds and lakes. However, the focus is on small bodies of water, specifically those smaller than 0.01 km 2 (for ponds) and particularly very small ponds (\0.001 km 2 ). The distinguishing attributes provided for these small water bodies include:

- **Size:** They are characterized as being relatively small in terms of surface area, with the majority of lakes and ponds being under 0.01 km 2 , and a large number of very small ponds covering areas as small as 0.0001-0.001 km 2 .
  
- **Shallowness:** Small ponds are described as shallow, which can significantly impact carbon dynamics such as CO 2 and CH 4 production and oxidation processes. Shallow waters mean that more water is in contact with anoxic sediments, leading to higher CH 4 concentrations due to less CH 4 oxidation in comparison to deeper lakes.
  
- **Environmental conditions:** The context suggests that small ponds may experience different environmental conditions than larger bodies of water, with implications for carbon cycling. High loadings of dissolved and particulate organic carbon (DOC, POC) relative to their volume contribute to increased respiration and CO 2 production. Additionally, the chemical, physical, and biological parameters of very small ponds may differ significantly from those of larger lakes, potentially leading to unique carbon cycling mechanisms.
  
- **Temporal dynamics:** The study highlights the importance of understanding the seasonal and annual variation in carbon concentrations, suggesting sensitivity to temperature changes and water availability that could affect carbon cycling differently in small ponds compared to larger lakes.

Therefore, in the context of this study, ponds and lakes are distinguished primarily by their size and depth, with a focus on the unique ecological and biogeochemical processes that occur within very small ponds (\0.001 km 2) due to their specific characteristics."
31,ponds3,2,True,False,False,
32,ponds3,3,True,False,False,
33,ponds3,4,True,False,False,
34,ponds3,5,True,False,True,
35,ponds3,6,True,False,False,
36,ponds3,7,True,False,False,
37,ponds3,8,True,False,False,
38,ponds3,9,True,False,False,
39,ponds3,10,True,False,True,
40,ponds3,11,True,False,True,
41,ponds3,12,True,False,False,
42,definitions3,-1,True,,,
43,definitions3,0,True,False,False,
44,definitions3,1,True,False,False,
45,definitions3,2,True,False,False,
46,definitions3,3,True,False,False,
47,definitions3,4,True,False,False,
48,definitions3,5,True,False,False,
49,definitions3,6,True,False,False,
50,definitions3,7,True,False,False,
